name,short_name,field
1300 SMILES LIMITED,ONT,Health Care Equipment & Services
1414 DEGREES LIMITED,14D,Capital Goods
1ST GROUP LIMITED,1ST,Health Care Equipment & Services
333D LIMITED,T3D,Commercial & Professional Services
360 CAPITAL DIGITAL INFRASTRUCTURE FUND,TDI,Not Applic
360 CAPITAL GROUP,TGP,Real Estate
360 CAPITAL REIT,TOT,Diversified Financials
3D OIL LIMITED,TDO,Energy
3D RESOURCES LIMITED,DDD,Materials
3P LEARNING LIMITED..,3PL,Consumer Services
4DMEDICAL LIMITED,4DX,Health Care Equipment & Services
4DS MEMORY LIMITED,4DS,Semiconductors & Semiconductor Equipment
5G NETWORKS LIMITED,5GN,Telecommunication Services
88 ENERGY LIMITED,88E,Energy
8COMMON LIMITED,8CO,Software & Services
8I HOLDINGS LTD,8IH,Diversified Financials
8IP EMERGING COMPANIES LIMITED,8EC,Not Applic
8VI HOLDINGS LIMITED,8VI,Consumer Services
9 SPOKES INTERNATIONAL LIMITED,9SP,Software & Services
99 TECHNOLOGY LIMITED,NNT,Software & Services
A-CAP ENERGY LIMITED,ACB,Energy
A1 INVESTMENTS & RESOURCES LTD,AYI,Diversified Financials
A2B AUSTRALIA LIMITED,A2B,Transportation
ABACUS PROPERTY GROUP,ABP,Real Estate
ABILENE OIL AND GAS LIMITED,ABL,Energy
ABSOLUTE EQUITY PERFORMANCE FUND LIMITED,AEG,Not Applic
ACACIA COAL LIMITED,AJC,Energy
ACADEMIES AUSTRALASIA GROUP LIMITED,AKG,Consumer Services
ACCELERATE RESOURCES LIMITED,AX8,Materials
ACCENT GROUP LIMITED,AX1,Retailing
ACCENT RESOURCES NL,ACS,Materials
ACORN CAPITAL INVESTMENT FUND LIMITED,ACQ,Not Applic
ACROW FORMWORK AND CONSTRUCTION SERVICES LIMITED,ACF,Capital Goods
ACRUX LIMITED,ACR,"Pharmaceuticals, Biotechnology & Life Sciences"
ACTINOGEN MEDICAL LIMITED,ACW,"Pharmaceuticals, Biotechnology & Life Sciences"
ACTIVEX LIMITED,AIV,Materials
ACUMENTIS GROUP LIMITED,ACU,Real Estate
AD1 HOLDINGS LIMITED,AD1,Media & Entertainment
ADACEL TECHNOLOGIES LIMITED,ADA,Software & Services
ADAIRS LIMITED,ADH,Retailing
ADALTA LIMITED,1AD,"Pharmaceuticals, Biotechnology & Life Sciences"
ADAVALE RESOURCES LIMITED,ADD,Energy
ADBRI LIMITED,ABC,Materials
ADHERIUM LIMITED,ADR,Health Care Equipment & Services
ADMIRALTY RESOURCES NL.,ADY,Materials
ADRIATIC METALS PLC,ADT,Materials
ADSLOT LTD.,ADS,Software & Services
ADVANCE NANOTEK LIMITED,ANO,Materials
ADVANCED BRAKING TECHNOLOGY LTD,ABV,Automobiles & Components
ADVANCED SHARE REGISTRY LIMITED,ASW,Diversified Financials
ADVERITAS LIMITED,AV1,Software & Services
ADX ENERGY LTD,ADX,Energy
AEERIS LTD,AER,Media & Entertainment
AEON METALS LIMITED.,AML,Materials
AERIS ENVIRONMENTAL LTD,AEI,Commercial & Professional Services
AERIS RESOURCES LIMITED,AIS,Materials
AEROMETREX LIMITED,AMX,Commercial & Professional Services
AF LEGAL GROUP LTD,AFL,Commercial & Professional Services
AFFINITY ENERGY AND HEALTH LIMITED,AEB,"Pharmaceuticals, Biotechnology & Life Sciences"
AFG 2019-2 TRUST IN RESPECT OF SERIES 2019-2,AF1,Not Applic
AFRICAN ENERGY RESOURCES LIMITED,AFR,Energy
AFRICAN GOLD LTD.,A1G,Materials
AFT CORPORATION LIMITED,AFT,Technology Hardware & Equipment
AFT PHARMACEUTICALS LIMITED,AFP,"Pharmaceuticals, Biotechnology & Life Sciences"
AFTERPAY LIMITED,APT,Software & Services
AGL ENERGY LIMITED.,AGL,Utilities
AGRICULTURAL LAND TRUST,AGJ,Real Estate
AGRIMIN LIMITED,AMN,Materials
AGUIA RESOURCES LIMITED,AGR,Materials
AHALIFE HOLDINGS LIMITED,AHL,Retailing
AIC MINES LIMITED,A1M,Materials
AIMS PROPERTY SECURITIES FUND,APW,Real Estate
AINSWORTH GAME TECHNOLOGY LIMITED,AGI,Consumer Services
AIR NEW ZEALAND LIMITED,AIZ,Transportation
AJ LUCAS GROUP LIMITED,AJL,Capital Goods
ALACER GOLD CORP.,AQG,Materials
ALARA RESOURCES LIMITED,AUQ,Materials
ALCHEMY RESOURCES LIMITED,ALY,Materials
ALCIDION GROUP LIMITED,ALC,Health Care Equipment & Services
ALDERAN RESOURCES LIMITED,AL8,Materials
ALDORO RESOURCES LIMITED,ARN,Materials
ALE PROPERTY GROUP,LEP,Real Estate
ALEXIUM INTERNATIONAL GROUP LIMITED,AJX,Materials
ALICANTO MINERALS LIMITED,AQI,Materials
ALICE QUEEN LIMITED,AQX,Materials
ALITA RESOURCES LIMITED,A40,Materials
ALKANE RESOURCES LIMITED,ALK,Materials
ALLEGIANCE COAL LIMITED,AHQ,Materials
ALLEGRA ORTHOPAEDICS LIMITED,AMT,Health Care Equipment & Services
ALLIANCE AVIATION SERVICES LIMITED,AQZ,Transportation
ALLIANCE RESOURCES LIMITED,AGS,Materials
ALLIGATOR ENERGY LIMITED,AGE,Energy
ALLOY RESOURCES LIMITED,AYR,Materials
ALPHA HPA LIMITED,A4N,Materials
ALS LIMITED,ALQ,Commercial & Professional Services
ALT RESOURCES LIMITED,ARS,Materials
ALTA ZINC LIMITED,AZI,Materials
ALTECH CHEMICALS LTD,ATC,Materials
ALTERITY THERAPEUTICS LIMITED,ATH,"Pharmaceuticals, Biotechnology & Life Sciences"
ALTERNATIVE INVESTMENT TRUST,AIQ,Not Applic
ALTERRA LIMITED,1AG,Commercial & Professional Services
ALTHEA GROUP HOLDINGS LIMITED,AGH,"Pharmaceuticals, Biotechnology & Life Sciences"
ALTIUM LIMITED,ALU,Software & Services
ALTO METALS LIMITED,AME,Materials
ALTURA MINING LIMITED,AJM,Materials
ALUMINA LIMITED,AWC,Materials
AMA GROUP LIMITED,AMA,Commercial & Professional Services
AMAERO INTERNATIONAL LTD,3DA,Capital Goods
AMANI GOLD LIMITED,ANL,Materials
AMAYSIM AUSTRALIA LIMITED,AYS,Utilities
AMBERTECH LIMITED,AMO,Technology Hardware & Equipment
AMBITION GROUP LIMITED,AMB,Commercial & Professional Services
AMCIL LIMITED,AMH,Not Applic
AMCOR PLC,AMC,Materials
AMERICAN PACIFIC BORATES LIMITED,ABR,Materials
AMERICAN RARE EARTHS LIMITED,ARR,Materials
AML3D LIMITED,AL3,Capital Goods
AMP LIMITED,AMP,Diversified Financials
AMPLIA THERAPEUTICS LIMITED,ATX,"Pharmaceuticals, Biotechnology & Life Sciences"
AMPOL LIMITED,ALD,Energy
ANALYTICA LIMITED,ALT,Health Care Equipment & Services
ANATARA LIFESCIENCES LTD,ANR,"Pharmaceuticals, Biotechnology & Life Sciences"
ANDROMEDA METALS LIMITED,ADN,Materials
ANEKA TAMBANG (PERSERO) TBK (PT),ATM,Materials
ANGEL SEAFOOD HOLDINGS LTD,AS1,"Food, Beverage & Tobacco"
ANGLO AUSTRALIAN RESOURCES NL,AAR,Materials
ANGLOGOLD ASHANTI LIMITED,AGG,Materials
ANOVA METALS LIMITED,AWV,Materials
ANSELL LIMITED,ANN,Health Care Equipment & Services
ANSILA ENERGY NL,ANA,Energy
ANSON RESOURCES LIMITED,ASN,Materials
ANTEOTECH LTD,ADO,"Pharmaceuticals, Biotechnology & Life Sciences"
ANTERIS TECHNOLOGIES LTD,AVR,Health Care Equipment & Services
ANTIPA MINERALS LIMITED,AZY,Materials
ANTIPODES GLOBAL INVESTMENT COMPANY LTD,APL,Not Applic
ANTISENSE THERAPEUTICS LIMITED,ANP,"Pharmaceuticals, Biotechnology & Life Sciences"
APA GROUP,APA,Utilities
APIAM ANIMAL HEALTH LIMITED,AHX,Health Care Equipment & Services
APN CONVENIENCE RETAIL REIT,AQR,Real Estate
APN INDUSTRIA REIT,ADI,Real Estate
APN PROPERTY GROUP,APD,Diversified Financials
APOLLO CONSOLIDATED LIMITED,AOP,Materials
APOLLO MINERALS LIMITED,AON,Materials
APOLLO SERIES 2013-1 TRUST,AOR,Not Applic
APOLLO SERIES 2015-1 TRUST,AOL,Not Applic
APOLLO SERIES 2017-2 TRUST,AO2,Not Applic
APOLLO SERIES 2018-1 TRUST,AO3,Not Applic
APOLLO TOURISM & LEISURE LTD,ATL,Automobiles & Components
APPEN LIMITED,APX,Software & Services
APPSVILLAGE AUSTRALIA LIMITED,APV,Software & Services
AQUIS ENTERTAINMENT LIMITED,AQS,Consumer Services
ARAFURA RESOURCES LIMITED,ARU,Materials
ARB CORPORATION LIMITED.,ARB,Automobiles & Components
ARCHER MATERIALS LIMITED,AXE,Materials
ARCHTIS LIMITED,AR9,Software & Services
ARDEA RESOURCES LIMITED,ARL,Materials
ARDENT LEISURE GROUP LIMITED,ALG,Consumer Services
ARDIDEN LTD,ADV,Materials
ARENA REIT.,ARF,Real Estate
ARGENT MINERALS LIMITED,ARD,Materials
ARGO EXPLORATION LIMITED,AXT,Materials
ARGO GLOBAL LISTED INFRASTRUCTURE LIMITED,ALI,Not Applic
ARGO INVESTMENTS LIMITED,ARG,Not Applic
ARGONAUT RESOURCES NL,ARE,Materials
ARGOSY MINERALS LIMITED,AGY,Materials
ARIADNE AUSTRALIA LIMITED,ARA,Commercial & Professional Services
ARISTOCRAT LEISURE LIMITED,ALL,Consumer Services
ARK MINES LIMITED,AHK,Materials
ARMOUR ENERGY LIMITED,AJQ,Energy
AROA BIOSURGERY LIMITED,ARX,"Pharmaceuticals, Biotechnology & Life Sciences"
ARROW MINERALS LTD,AMD,Materials
ARTEMIS RESOURCES LIMITED,ARV,Materials
ARUMA RESOURCES LIMITED,AAJ,Materials
ASALEO CARE LIMITED,AHY,Household & Personal Products
ASAPLUS RESOURCES LIMITED,AJY,Materials
ASF GROUP LIMITED,AFA,Diversified Financials
ASHLEY SERVICES GROUP LIMITED,ASH,Commercial & Professional Services
ASIAN AMERICAN MEDICAL GROUP LIMITED,AJJ,Health Care Equipment & Services
ASIAN DEVELOPMENT BANK,ATB,Not Applic
ASPEN GROUP,APZ,Real Estate
ASPERMONT LIMITED.,ASP,Media & Entertainment
ASPIRE MINING LIMITED,AKM,Materials
ASSETOWL LIMITED,AO1,Software & Services
ASTIVITA LIMITED,AIR,Capital Goods
ASTRO RESOURCES NL,ARO,Materials
ASTRON CORPORATION LIMITED,ATR,Materials
ASX LIMITED,ASX,Diversified Financials
ATHENA RESOURCES LIMITED,AHN,Materials
ATLAS ARTERIA,ALX,Transportation
ATLAS PEARLS LTD,ATP,Consumer Durables & Apparel
ATOMO DIAGNOSTICS LIMITED,AT1,Health Care Equipment & Services
ATOMOS LIMITED,AMS,Consumer Durables & Apparel
ATRUM COAL LIMITED,ATU,Materials
AUB GROUP LIMITED,AUB,Insurance
AUCKLAND INTERNATIONAL AIRPORT LIMITED,AIA,Transportation
AUCTUS INVESTMENT GROUP LIMITED,AVC,Diversified Financials
AUDALIA RESOURCES LIMITED,ACP,Materials
AUDINATE GROUP LIMITED,AD8,Technology Hardware & Equipment
AUDIO PIXELS HOLDINGS LIMITED,AKP,Consumer Durables & Apparel
AUKING MINING LIMITED,AKN,Materials
AUMAKE INTERNATIONAL LIMITED,AU8,Retailing
AURA ENERGY LIMITED,AEE,Energy
AURELIA METALS LIMITED,AMI,Materials
AURIS MINERALS LIMITED,AUR,Materials
AURIZON HOLDINGS LIMITED,AZJ,Transportation
AUROCH MINERALS LTD,AOU,Materials
AURORA ABSOLUTE RETURN FUND,ABW,Not Applic
AURORA GLOBAL INCOME TRUST,AIB,Not Applic
AURORA LABS LIMITED,A3D,Capital Goods
AURORA MINERALS LIMITED,ARM,Materials
AURORA PROPERTY BUY-WRITE INCOME TRUST,AUP,Not Applic
AUS TIN MINING LTD,ANW,Materials
AUSCANN GROUP HOLDINGS LTD,AC8,"Pharmaceuticals, Biotechnology & Life Sciences"
AUSGOLD LIMITED,AUC,Materials
AUSMEX MINING GROUP LIMITED,AMG,Materials
AUSMON RESOURCES LIMITED,AOA,Materials
AUSNET SERVICES HOLDINGS PTY LTD,ANV,Not Applic
AUSNET SERVICES LIMITED,AST,Utilities
AUSQUEST LIMITED,AQD,Materials
AUSTAL LIMITED,ASB,Capital Goods
AUSTAR GOLD LIMITED,AUL,Materials
AUSTCHINA HOLDINGS LIMITED,AUH,Energy
AUSTIN ENGINEERING LIMITED,ANG,Capital Goods
AUSTPAC RESOURCES NL,APG,Materials
AUSTRAL GOLD LIMITED,AGD,Materials
AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,ANZ,Banks
AUSTRALIA UNITED MINING LIMITED,AYM,Materials
AUSTRALIAN AGRICULTURAL COMPANY LIMITED.,AAC,"Food, Beverage & Tobacco"
AUSTRALIAN AGRICULTURAL PROJECTS LIMITED,AAP,"Food, Beverage & Tobacco"
AUSTRALIAN BAUXITE LIMITED.,ABX,Materials
AUSTRALIAN COMMONWEALTH GOVERNMENT LOANS,XCL,Not Applic
AUSTRALIAN DAIRY NUTRITIONALS GROUP,AHF,"Food, Beverage & Tobacco"
AUSTRALIAN ENHANCED INCOME FUND,AYF,Not Applic
AUSTRALIAN ETHICAL INVESTMENT LIMITED,AEF,Diversified Financials
AUSTRALIAN FINANCE GROUP LTD,AFG,Banks
AUSTRALIAN FOUNDATION INVESTMENT COMPANY LIMITED,AFI,Not Applic
AUSTRALIAN GOVERNANCE & ETHICAL INDEX FUND,AGM,Not Applic
AUSTRALIAN LEADERS FUND LIMITED,ALF,Not Applic
AUSTRALIAN MINES LIMITED,AUZ,Materials
AUSTRALIAN PACIFIC COAL LIMITED,AQC,Materials
AUSTRALIAN PHARMACEUTICAL INDUSTRIES LIMITED,API,Health Care Equipment & Services
AUSTRALIAN POTASH LIMITED,APC,Materials
AUSTRALIAN PRIMARY HEMP LIMITED,APH,"Food, Beverage & Tobacco"
AUSTRALIAN RURAL CAPITAL LIMITED,ARC,Diversified Financials
AUSTRALIAN SILICA QUARTZ GROUP LTD,ASQ,Materials
AUSTRALIAN STRATEGIC MATERIALS LIMITED,ASM,Materials
AUSTRALIAN UNITED INVESTMENT COMPANY LIMITED,AUI,Not Applic
AUSTRALIAN UNITY LIMITED,AYU,Not Applic
AUSTRALIAN UNITY OFFICE FUND,AOF,Real Estate
AUSTRALIAN VANADIUM LIMITED,AVL,Materials
AUSTRALIAN VINTAGE LTD,AVG,"Food, Beverage & Tobacco"
AUSTRALIS OIL & GAS LIMITED,ATS,Energy
AUSTSINO RESOURCES GROUP LIMITED,ANS,Materials
AUSWIDE BANK LTD,ABA,Banks
AUTECO MINERALS LTD,AUT,Materials
AUTHORISED INVESTMENT FUND LIMITED,AIY,Not Applic
AUTOSPORTS GROUP LIMITED.,ASG,Retailing
AVA RISK GROUP LIMITED,AVA,Technology Hardware & Equipment
AVECHO BIOTECHNOLOGY LIMITED,AVE,"Pharmaceuticals, Biotechnology & Life Sciences"
AVENIRA LIMITED,AEV,Materials
AVENTUS GROUP,AVN,Real Estate
AVIRA RESOURCES LTD,AVW,Materials
"AVITA THERAPEUTICS, INC.",AVH,"Pharmaceuticals, Biotechnology & Life Sciences"
AVJENNINGS LIMITED,AVJ,Real Estate
AVZ MINERALS LIMITED,AVZ,Materials
AWN HOLDINGS LIMITED,AWN,Capital Goods
AXIOM MINING LIMITED,AVQ,Materials
AXIOM PROPERTIES LIMITED,AXI,Real Estate
AZURE HEALTHCARE LIMITED,AZV,Health Care Equipment & Services
AZURE MINERALS LIMITED,AZS,Materials
BABY BUNTING GROUP LIMITED,BBN,Retailing
BABYLON PUMP & POWER LIMITED,BPP,Capital Goods
BAILADOR TECHNOLOGY INVESTMENTS LIMITED,BTI,Diversified Financials
BANK OF QUEENSLAND LIMITED.,BOQ,Banks
BANNERMAN RESOURCES LIMITED,BMN,Energy
BAPCOR LIMITED,BAP,Retailing
BARD1 LIFE SCIENCES LIMITED,BD1,Health Care Equipment & Services
BARDOC GOLD LIMITED,BDC,Materials
BARRA RESOURCES LIMITED,BAR,Materials
BASE RESOURCES LIMITED,BSE,Materials
BASS METALS LTD,BSM,Materials
BASS OIL LIMITED,BAS,Energy
BASSARI RESOURCES LIMITED,BSR,Materials
BATHURST RESOURCES LIMITED.,BRL,Materials
BATTERY MINERALS LIMITED,BAT,Materials
BAUMART HOLDINGS LIMITED,BMH,Capital Goods
BBX MINERALS LIMITED,BBX,Materials
BCI MINERALS LIMITED,BCI,Materials
BEACH ENERGY LIMITED,BPT,Energy
BEACON LIGHTING GROUP LIMITED,BLX,Retailing
BEACON MINERALS LIMITED,BCN,Materials
BEAM COMMUNICATIONS HOLDINGS LIMITED,BCC,Technology Hardware & Equipment
BEGA CHEESE LIMITED,BGA,"Food, Beverage & Tobacco"
BELL FINANCIAL GROUP LIMITED,BFG,Diversified Financials
BELLEVUE GOLD LIMITED,BGL,Materials
BENDIGO AND ADELAIDE BANK LIMITED,BEN,Banks
BENJAMIN HORNIGOLD LIMITED,BHD,Not Applic
BENTLEY CAPITAL LIMITED,BEL,Not Applic
BERKELEY ENERGIA LIMITED,BKY,Energy
BESTON GLOBAL FOOD COMPANY LIMITED,BFC,"Food, Beverage & Tobacco"
BETMAKERS TECHNOLOGY GROUP LTD,BET,Consumer Services
BEYOND INTERNATIONAL LIMITED,BYI,Media & Entertainment
BHP GROUP LIMITED,BHP,Materials
BIDENERGY LIMITED,BID,Software & Services
BIG RIVER GOLD LTD,BRV,Materials
BIG RIVER INDUSTRIES LIMITED,BRI,Materials
BIGTINCAN HOLDINGS LIMITED,BTH,Software & Services
BINGO INDUSTRIES LIMITED,BIN,Commercial & Professional Services
BIO-GENE TECHNOLOGY LTD,BGT,Materials
BIONOMICS LIMITED,BNO,"Pharmaceuticals, Biotechnology & Life Sciences"
BIOTRON LIMITED,BIT,"Pharmaceuticals, Biotechnology & Life Sciences"
BIOXYNE LIMITED,BXN,Household & Personal Products
BIR FINANCIAL LIMITED,BIR,Diversified Financials
BISALLOY STEEL GROUP LIMITED,BIS,Materials
BKI INVESTMENT COMPANY LIMITED,BKI,Not Applic
BLACK CAT SYNDICATE LIMITED,BC8,Materials
BLACK DRAGON GOLD CORP.,BDG,Materials
BLACK ROCK MINING LIMITED,BKT,Materials
BLACK STAR PETROLEUM LIMITED,BSP,Energy
BLACKEARTH MINERALS NL,BEM,Materials
BLACKMORES LIMITED,BKL,Household & Personal Products
BLACKSTONE MINERALS LIMITED,BSX,Materials
BLACKWALL LIMITED,BWF,Diversified Financials
BLACKWALL PROPERTY TRUST,BWR,Real Estate
BLAZE INTERNATIONAL LIMITED,BLZ,Energy
BLINA MINERALS NL,BDI,Materials
BLUE ENERGY LIMITED.,BLU,Energy
BLUE SKY ALTERNATIVE INVESTMENTS LIMITED,BLA,Diversified Financials
BLUE SKY ALTERNATIVES ACCESS FUND LIMITED,BAF,Not Applic
BLUE STAR HELIUM LIMITED,BNL,Energy
BLUECHIIP LIMITED,BCT,Technology Hardware & Equipment
BLUESCOPE STEEL LIMITED,BSL,Materials
BLUGLASS LIMITED,BLG,Semiconductors & Semiconductor Equipment
BMG RESOURCES LIMITED,BMG,Materials
BNK BANKING CORPORATION LIMITED,BBC,Banks
BOADICEA RESOURCES LIMITED,BOA,Materials
BOART LONGYEAR LIMITED,BLY,Materials
BOD AUSTRALIA LIMITED,BDA,Retailing
BOOM LOGISTICS LIMITED,BOL,Capital Goods
BORAL LIMITED.,BLD,Materials
BOSS RESOURCES LIMITED,BOE,Materials
BOTANIX PHARMACEUTICALS LTD,BOT,"Pharmaceuticals, Biotechnology & Life Sciences"
BOUGAINVILLE COPPER LIMITED,BOC,Materials
BOUNTY MINING LIMITED,B2Y,Materials
BOUNTY OIL & GAS NL,BUY,Energy
BOWEN COKING COAL LIMITED,BCB,Materials
BOYUAN HOLDINGS LIMITED,BHL,Real Estate
BPH ENERGY LTD,BPH,"Pharmaceuticals, Biotechnology & Life Sciences"
BRAINCHIP HOLDINGS LTD,BRN,Software & Services
BRAMBLES LIMITED,BXB,Commercial & Professional Services
BRAVURA SOLUTIONS LIMITED.,BVS,Software & Services
BREAKER RESOURCES NL,BRB,Materials
BREVILLE GROUP LIMITED,BRG,Consumer Durables & Apparel
BRICKWORKS LIMITED,BKW,Materials
BRISBANE BRONCOS LIMITED,BBL,Media & Entertainment
BRISCOE GROUP AUSTRALASIA LIMITED,BGP,Retailing
BROCKMAN MINING LIMITED,BCK,Materials
BROO LTD,BEE,"Food, Beverage & Tobacco"
BROOKSIDE ENERGY LIMITED,BRK,Energy
BRYAH RESOURCES LIMITED,BYH,Materials
BSA LIMITED,BSA,Commercial & Professional Services
BTC HEALTH LTD,BTC,Not Applic
BUBS AUSTRALIA LIMITED,BUB,"Food, Beverage & Tobacco"
BUDDY TECHNOLOGIES LTD,BUD,Software & Services
BUDERIM GROUP LIMITED,BUG,"Food, Beverage & Tobacco"
"BUILDINGIQ, INC",BIQ,Software & Services
BULLETIN RESOURCES LIMITED,BNR,Materials
BURU ENERGY LIMITED,BRU,Energy
BUXTON RESOURCES LIMITED,BUX,Materials
BWP TRUST,BWP,Real Estate
BWX LIMITED,BWX,Household & Personal Products
BYRON ENERGY LIMITED,BYE,Energy
CADENCE CAPITAL LIMITED,CDM,Not Applic
CAENEUS MINERALS LTD,CAD,Materials
CAISSE FRANCAISE DE FINANCEMENT LOCAL,DXA,Not Applic
CALIDUS RESOURCES LIMITED,CAI,Materials
CALIMA ENERGY LIMITED,CE1,Energy
CALIX LIMITED,CXL,Materials
CANDY CLUB HOLDINGS LIMITED,CLB,Food & Staples Retailing
CANN GLOBAL LIMITED,CGB,"Pharmaceuticals, Biotechnology & Life Sciences"
CANN GROUP LIMITED,CAN,"Pharmaceuticals, Biotechnology & Life Sciences"
CANNINDAH RESOURCES LIMITED,CAE,Materials
CANNPAL ANIMAL THERAPEUTICS LIMITED,CP1,"Pharmaceuticals, Biotechnology & Life Sciences"
CANTERBURY RESOURCES LIMITED,CBY,Materials
CANYON RESOURCES LIMITED,CAY,Materials
CAPE LAMBERT RESOURCES LIMITED,CFE,Materials
CAPE RANGE LTD,CAG,Software & Services
CAPITOL HEALTH LIMITED,CAJ,Health Care Equipment & Services
CAPRAL LIMITED,CAA,Materials
CAPRICE RESOURCES LTD,CRS,Materials
CAPRICORN METALS LTD,CMM,Materials
CAQ HOLDINGS LIMITED,CAQ,Real Estate
CARAVEL MINERALS LIMITED,CVV,Materials
CARAWINE RESOURCES LIMITED,CWX,Materials
CARBINE RESOURCES LIMITED,CRB,Materials
CARBON MINERALS LIMITED,CRM,Energy
CARBON REVOLUTION LIMITED,CBR,Automobiles & Components
CARBONXT GROUP LIMITED,CG1,Materials
CARDIEX LIMITED,CDX,Health Care Equipment & Services
CARDINAL RESOURCES LIMITED,CDV,Materials
CARDNO LIMITED,CDD,Commercial & Professional Services
CARINDALE PROPERTY TRUST,CDP,Real Estate
CARLTON INVESTMENTS LIMITED,CIN,Not Applic
CARNABY RESOURCES LIMITED,CNB,Materials
CARNARVON PETROLEUM LIMITED,CVN,Energy
CARNAVALE RESOURCES LIMITED,CAV,Materials
CARNEGIE CLEAN ENERGY LIMITED,CCE,Utilities
CARPENTARIA RESOURCES LTD,CAP,Materials
CARSALES.COM LIMITED.,CAR,Media & Entertainment
CASH CONVERTERS INTERNATIONAL,CCV,Diversified Financials
CASHWERKZ LIMITED,CWZ,Diversified Financials
CASSINI RESOURCES LIMITED,CZI,Materials
CASSIUS MINING LIMITED,CMD,Materials
CASTILE RESOURCES LTD,CST,Materials
CASTILLO COPPER LIMITED,CCZ,Materials
CASTLE MINERALS LIMITED,CDT,Materials
CATALYST METALS LIMITED,CYL,Materials
CATAPULT GROUP INTERNATIONAL LTD,CAT,Technology Hardware & Equipment
CAULDRON ENERGY LIMITED,CXU,Energy
CAZALY RESOURCES LIMITED,CAZ,Materials
CEDAR WOODS PROPERTIES LIMITED,CWP,Real Estate
CELAMIN HOLDINGS LIMITED,CNL,Materials
CELLMID LIMITED,CDY,"Pharmaceuticals, Biotechnology & Life Sciences"
CELLNET GROUP LIMITED,CLT,Technology Hardware & Equipment
CELSIUS RESOURCES LIMITED.,CLA,Materials
CENTAURUS METALS LIMITED,CTM,Materials
CENTRAL PETROLEUM LIMITED,CTP,Energy
CENTREPOINT ALLIANCE LIMITED,CAF,Diversified Financials
CENTREX METALS LIMITED,CXM,Materials
CENTURIA CAPITAL GROUP,CNI,Diversified Financials
CENTURIA INDUSTRIAL REIT,CIP,Real Estate
CENTURIA OFFICE REIT,COF,Real Estate
CERVANTES CORPORATION LIMITED,CVS,Materials
CFOAM LIMITED,CFO,Capital Goods
CHALICE GOLD MINES LIMITED,CHN,Materials
CHALLENGER EXPLORATION LIMITED,CEL,Energy
CHALLENGER LIMITED,CGF,Diversified Financials
CHALLENGER MILLENNIUM SERIES 2007-1E TRUST,CHJ,Not Applic
CHALLENGER MILLENNIUM SERIES 2007-2L TRUST,CHU,Not Applic
CHAMPION IRON LIMITED,CIA,Materials
CHANGE FINANCIAL LIMITED,CCA,Software & Services
CHARTER HALL GROUP,CHC,Real Estate
CHARTER HALL LONG WALE REIT,CLW,Real Estate
CHARTER HALL RETAIL REIT,CQR,Real Estate
CHARTER HALL SOCIAL INFRASTRUCTURE REIT,CQE,Real Estate
CHASE MINING CORPORATION LIMITED,CML,Materials
CHESSER RESOURCES LIMITED,CHZ,Materials
CHINA CONSTRUCTION BANK CORPORATION,CCB,Not Applic
CHINA MAGNESIUM CORPORATION LIMITED,CMC,Materials
CHONGHERR INVESTMENTS LTD,CDH,Materials
CHORUS LIMITED,CNU,Telecommunication Services
CI RESOURCES LIMITED,CII,Materials
CIMIC GROUP LIMITED,CIM,Capital Goods
CIPHERPOINT LIMITED,CPT,Software & Services
CIRRALTO LIMITED,CRO,Software & Services
CIRRUS NETWORKS HOLDINGS LIMITED,CNW,Software & Services
CITIGOLD CORPORATION LIMITED,CTO,Materials
CITY CHIC COLLECTIVE LIMITED,CCX,Retailing
CIVMEC LIMITED,CVL,Capital Goods
CLASS LIMITED,CL1,Software & Services
CLASSIC MINERALS LTD,CLZ,Materials
CLEAN SEAS SEAFOOD LIMITED,CSS,"Food, Beverage & Tobacco"
CLEAN TEQ HOLDINGS LIMITED,CLQ,Commercial & Professional Services
CLEANAWAY WASTE MANAGEMENT LIMITED,CWY,Commercial & Professional Services
CLEARVIEW WEALTH LIMITED,CVW,Diversified Financials
CLEARVUE TECHNOLOGIES LIMITED,CPV,Capital Goods
CLIME CAPITAL LIMITED,CAM,Not Applic
CLIME INVESTMENT MANAGEMENT LTD,CIW,Diversified Financials
CLINUVEL PHARMACEUTICALS LIMITED,CUV,"Pharmaceuticals, Biotechnology & Life Sciences"
CLOVER CORPORATION LIMITED,CLV,Materials
CML GROUP LIMITED,CGR,Diversified Financials
COBALT BLUE HOLDINGS LIMITED,COB,Materials
COBRE LIMITED,CBE,Materials
COCA-COLA AMATIL LIMITED,CCL,"Food, Beverage & Tobacco"
COCHLEAR LIMITED,COH,Health Care Equipment & Services
CODAN LIMITED,CDA,Technology Hardware & Equipment
COGSTATE LTD,CGS,Health Care Equipment & Services
COHIBA MINERALS LIMITED,CHK,Materials
COKAL LIMITED,CKA,Materials
COLES GROUP LIMITED.,COL,Food & Staples Retailing
COLLABORATE CORPORATION LIMITED,CL8,Retailing
COLLECTION HOUSE LIMITED,CLH,Diversified Financials
COLLINS FOODS LIMITED,CKF,Consumer Services
COMET RESOURCES LIMITED,CRL,Materials
COMET RIDGE LIMITED,COI,Energy
COMMONWEALTH BANK OF AUSTRALIA.,CBA,Banks
COMMSCHOICE GROUP LIMITED,CCG,Software & Services
